Licence Num,Licensee,Trading As,Category,Trading Hours,After 11 pm,Suburb,Latitude,Longitude,Postal Address,Postal Suburb,Postal Postcode,Council,Region,Metro/Regional,Gaming,geom,geom_suburb
32205614,KUAI JING,SHIKUMEN,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MALVERN EAST,-37.868567999999996,145.060276,10 MORINDA STREET,RINGWOOD EAST,3135,STONNINGTON CITY COUNCIL,Metro South,Metro,N,POINT (145.060276 -37.868568),Stonnington - Malvern
32205753,TACO BILL SM PTY LTD,TACO BILL MEXICAN CANTINA,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,SOUTH MELBOURNE,-37.83605904,144.9622601,GROUND FLOOR 375-381 CLARENDON STREET,SOUTH MELBOURNE,3205,PORT PHILLIP CITY COUNCIL,Metro South,Metro,N,POINT (144.9622601 -37.83605904),Port Phillip - West
32205787,MONTESANO VITO,STONE BAR & GRILL & FUNCTION CENTER,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELTON,-37.682609,144.585472,CNR HIGH & SMITH STREETS,MELTON,3337,MELTON CITY COUNCIL,NORTH WEST,Regional,N,POINT (144.585472 -37.682609),Melton Bal
32205965,TARASE PTY LTD,RED CORNER CAFE,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,CHELTENHAM,-37.959455299999995,145.053971,78 HIGHETT ROAD,HAMPTON,3188,KINGSTON CITY COUNCIL,Metro South,Metro,N,POINT (145.053971 -37.9594553),Kingston - North
32205973,YUNAN&LUSHA PTY LTD,AYAME,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MALVERN,-37.85810751,145.0285221,237 GLENFERRIE ROAD,MALVERN,3144,STONNINGTON CITY COUNCIL,Metro South,Metro,N,POINT (145.0285221 -37.85810751),Stonnington - Malvern
32206107,ITHACAN PHILANTHROPIC SOCIETY THE ULYSESS,ITHACAN PHILANTHROPIC SOCIETY,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELBOURNE,-37.81098803,144.96138169999998,PO BOX 311,BALWYN NORTH,3104,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9613817 -37.81098803),Melbourne - Inner
32206115,SALATIELLO PTY LTD,SCUGNIZZO,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,MELBOURNE,-37.81503289,144.9561017,558 LITTLE BOURKE STREET (MERRITTS PLACE),MELBOURNE,3000,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9561017 -37.81503289),Melbourne - Inner
32206181,PLUME CHINESE RESTAURANT PTY LTD,PLUME CHINESE CUISINE,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,DONCASTER,-37.788359,145.11895,BASEMENT 546 DONCASTER RD,DONCASTER,3108,MANNINGHAM CITY COUNCIL,Metro East,Metro,N,POINT (145.11895 -37.788359),Manningham - West
32206199,COLOURFUL YUNNAN PTY LTD,COLOURFUL YUNNAN,Restaurant and cafe Licence,Trading to 1am,Trading to 1AM,CARLTON,-37.80064613,144.96419880000002,680-682 SWANSTON STREET,CARLTON,3053,MELBOURNE CITY COUNCIL,Metro North,Metro,N,POINT (144.9641988 -37.80064613),Port Phillip - West
32206335,MDC ENTERTAINMENT PTY LTD,CHASERS NIGHT CLUB,Late night (on-premises) Licence,Trading to 7am,Trading to 8AM,SOUTH YARRA,-37.84592816,144.9945243,386 CHAPEL STREET,SOUTH YARRA,3141,STONNINGTON CITY COUNCIL,Metro South,Metro,N,POINT (144.9945243 -37.84592816),Stonnington - Prahran
